<OUTPUT SRCFILE="5103.raw">
** ** Fz 1 -
Votou votar VMIS3S0 1 02461314-v:0.00592532/02400637-v:0.00415135/02462201-v:0.00405101
, , Fc 1 -
apenas apenas RG 0.998282 00003093-r:0.0119051
em em SP 1 -
o o DA0MS0 1 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.0118194
turno turno NCMS000 1 03646296-n:0.0131632
, , Fc 1 -
a o DA0FS0 0.675415 -
favor favor NCMS000 1 01226941-n:0.00668265/05156319-n:0.0062961
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
prorrogação prorrogação NCFS000 1 15233989-n:0.0128352
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Fundo_Social_de_Emergência fundo_social_de_emergência NP00O00 1 -
( ( Fpa 1 -
FSE fse NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
cujo cujo PR0MS00 1 -
nome nome NCMS000 1 06333653-n:0.0027136/06319293-n:0.00227261/06337307-n:0.00201303/06317862-n:0.00196475/06320004-n:0.00193657/06338908-n:0.00183187/06720964-n:0.00182809
foi ir VMIS3S0 0.5 01835496-v:0.00155883/02051694-v:0.000856563/01955984-v:0.000809408/01995549-v:0.000793611/02072849-v:0.000774848/01904930-v:0.00074575/02009433-v:0.000725915/01935233-v:0.000702883/01957529-v:0.00070061/02102398-v:0.000681185/00341560-v:0.000669719/02685951-v:0.000631608/01882814-v:0.000631113/02058994-v:0.000629755/01846916-v:0.000622817/02102002-v:0.000621284/01849221-v:0.000619469/01841079-v:0.000592589/02686471-v:0.000574505/01839538-v:0.000561221/00343898-v:0.000552182
modificado modificar VMP00SM 0.992518 00126264-v:0.00300893/00383542-v:0.00176706/00115157-v:0.00176501/00123170-v:0.00162908/00382635-v:0.001624/00171127-v:0.00160067/00555447-v:0.00158534/01667132-v:0.00150217
para para SP 0.999444 -
Fundo_de_Estabilização_Fiscal fundo_de_estabilização_fiscal NP00O00 1 -
( ( Fpa 1 -
FEF fef NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Jair_Siqueira jair_siqueira NP00SP0 1 -
não não RN 0.99985 00118531-r:0.0284709
compareceu comparecer VMIS3S0 1 00425522-v:0.026042
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
votação votação NCFS000 1 00183505-n:0.0144903/00182213-n:0.0136486
em em SP 1 -
segundo segundo AO0MS00 0.19746 -
turno turno NCMS000 1 03646296-n:0.0285286
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.000896743/15203791-n:0.000869006/15203565-n:0.000863206/15153787-n:0.000780677/15204297-n:0.000761338/15201505-n:0.000761028/15202806-n:0.000760825/08238660-n:0.000759894/15203229-n:0.00072225/15273626-n:0.00071419
legislativo legislativo AQ0MS00 1 02829565-a:0.00363931/02829422-a:0.0035835
de de SP 1 -
1996 1996 Z 1 -
, , Fc 1 -
esteve estar VMIS3S0 0.982759 02604760-v:0.00181306/02655135-v:0.00108105/00149583-v:0.00106379/01857392-v:0.00103799/02734338-v:0.00101499/02729963-v:0.000991033/00065495-v:0.000929106
ausente ausente AQ0CS00 0.688878 01847672-a:0.0036697/00165171-a:0.00358833
em em SP 1 -
a o DA0FS0 1 -
votação votação NCFS000 1 00183505-n:0.0036317/00182213-n:0.00341886
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
projeto projeto NCMS000 1 05898568-n:0.00203621/00795720-n:0.00167712/05902327-n:0.00143453/05891572-n:0.0014235/05910453-n:0.00139993
, , Fc 1 -
