<OUTPUT SRCFILE="8891.raw">
** ** Fz 1 -
passaram passar VMIS3P0 0.65 01212230-v:0.00553831/02709277-v:0.00516995/00106960-v:0.00507321
a a SP 0.313151 -
funcionar funcionar VMN0000 0.529581 01525666-v:0.00826531/01526290-v:0.003871/02541251-v:0.00330007/01096497-v:0.00321474/01526139-v:0.003063
provisoriamente provisoriamente RG 1 00088303-r:0.00614938/00054327-r:0.00495344/00480195-r:0.00391624/00064946-r:0.00379668
duas 2 Z 1 -
turmas turma NCFP000 1 07996149-n:0.0160277
de de SP 1 -
cinco 5 Z 0.997312 -
ministros ministro NCMP000 1 10320863-n:0.00867922/00585810-n:0.00850907
cada cada DI0CN0 0.977642 -
uma um DI0FS0 0.903495 -
, , Fc 1 -
que que PR0CN00 0.584265 -
viriam vir VMIC3P0 1 02053941-v:0.00379847/02005948-v:0.00353693/01849746-v:0.00333009/01849221-v:0.00332306/00341917-v:0.00326473/00360932-v:0.00285938
a a SP 0.313151 -
ser ser VMN0000 0.33093 02604760-v:0.0191808
reconhecidas reconhecer VMP00PF 0.992518 00618878-v:0.0056492/00592883-v:0.00550973/00610374-v:0.00521623
regimentalmente regimental RG 1 -
em em SP 1 -
1937 1937 Z 1 -
. . Fp 1 -

A o DA0FS0 0.675415 -
Constituição constituição NP00V00 1 04933544-n:0.00565992/06533648-n:0.0054853/00237078-n:0.00541467
de de SP 1 -
1934 1934 Z 1 -
mudou mudar VMIS3S0 1 00109660-v:0.00344167/00126264-v:0.00198885/00115157-v:0.00134027/00140123-v:0.00132267/00119873-v:0.00126035/00123170-v:0.00122813/00009147-v:0.00120643/00555447-v:0.00120384/00125841-v:0.00119555/00584410-v:0.00119433/00381601-v:0.00119099/00169458-v:0.00117338/00555654-v:0.00111399/00551210-v:0.00108577
o o DA0MS0 0.950254 -
nome nome NCMS000 1 06333653-n:0.0034455/06319293-n:0.00295465/06337307-n:0.00261602/06317862-n:0.00255283/06320004-n:0.00251697/06338908-n:0.00237965/06720964-n:0.0023747
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
STF stf NP00O00 1 -
para para SP 0.999444 -
Corte_Suprema corte_suprema NP00SP0 1 -
, , Fc 1 -
mas mas CC 0.999313 -
conservou conservar VMIS3S0 1 02681795-v:0.00501302/00212414-v:0.00440192/02225492-v:0.00416965/02682567-v:0.00395121
o o DA0MS0 0.950254 -
número número NCMS000 1 13582013-n:0.00155509/13741022-n:0.00140593/05121418-n:0.00136197/05090441-n:0.00130926/06807198-n:0.00124466/05855125-n:0.00123302/05861067-n:0.00120216/13742358-n:0.00119516/05107765-n:0.00119303/06596978-n:0.00117144/06425065-n:0.00116703/06426111-n:0.00115508/00033615-n:0.00114297/06892016-n:0.00108847/06326526-n:0.00107733
de de SP 1 -
juízes juiz NCMP000 1 10372076-n:0.00411788/10225219-n:0.00409441/10514429-n:0.00320207/10735984-n:0.00290898/09769636-n:0.00284594/10526927-n:0.00270694
fixado fixar VMP00SM 0.992518 01340439-v:0.00727817/01059400-a:0.00595352/01343892-v:0.00585569
por por SP 1 -
o o DA0MS0 1 -
decreto decreto NCMS000 0.980769 06539770-n:0.016407
de de SP 1 -
1931 1931 Z 1 -
. . Fp 1 -

Este este DD0MS0 0.843484 -
número número NCMS000 1 13582013-n:0.00249894/13741022-n:0.00234242/05121418-n:0.00227273/05090441-n:0.00222015/06807198-n:0.00207347/05855125-n:0.0020568/05861067-n:0.00201484/05107765-n:0.00199674/13742358-n:0.00199308/06596978-n:0.00194611/06425065-n:0.0019306/06426111-n:0.00192115/00033615-n:0.00191215/06892016-n:0.00184776/06326526-n:0.00177649
de de SP 1 -
ministros ministro NCMP000 1 10320863-n:0.0144747/00585810-n:0.0141864
podia poder VMII3S0 0.533333 -
contudo contudo CC 1 -
ser ser VMN0000 0.33093 02604760-v:0.0318291
elevado elevar VMP00SM 0.983871 00544549-v:0.00661961/01588619-a:0.00619073/01974062-v:0.0060806/00158503-v:0.0057287/01205473-a:0.00565249
por por SP 1 -
lei lei NCFS000 1 08441203-n:0.00946965/06532330-n:0.00838609/05872982-n:0.00698092/08456347-n:0.00653902
até até SP 0.764262 -
16 16 Z 1 -
. . Fp 1 -

Esta este DD0FS0 0.877868 -
situação situação NCFS000 1 00024720-n:0.0038896/13920835-n:0.00295595/13925752-n:0.00292034/13927383-n:0.00274827/05074774-n:0.00257236/08622950-n:0.0025693
foi ir VMIS3S0 0.5 01835496-v:0.0018156/02051694-v:0.0010129/01995549-v:0.00100192/01955984-v:0.000952179/02072849-v:0.000927499/01904930-v:0.000874604/02009433-v:0.000857528/01935233-v:0.000831115/01957529-v:0.000824217/02102398-v:0.000804055/00341560-v:0.000792926/01849221-v:0.000758966/02685951-v:0.000749139/01882814-v:0.000745727/02058994-v:0.000743351/01846916-v:0.000735645/02102002-v:0.000733778/01841079-v:0.000699782/02686471-v:0.000678857/01839538-v:0.000662804/00343898-v:0.000652911
mantida manter VMP00SF 0.992518 00117985-v:0.00260222/02202384-v:0.00247158/02225492-v:0.00231061/02679899-v:0.00228394/00737801-a:0.00216692/01184625-v:0.00214736/01016778-v:0.00210806
em em SP 1 -
a o DA0FS0 1 -
Constituição constituição NP00V00 1 04933544-n:0.00511508/06533648-n:0.00498772/00237078-n:0.00492247
de de SP 1 -
1937 1937 Z 1 -
, , Fc 1 -
quando quando RG 0.998992 -
o o DA0MS0 0.950254 -
tribunal tribunal NCMS000 1 08329453-n:0.00974861/03649459-n:0.00807883
recuperou recuperar VMIS3S0 1 00092690-v:0.00540963/00528339-v:0.00524256/02249438-v:0.00509305
sua seu DP3FSS 0.929764 -
antiga antigo AQ0FS00 1 00669138-a:0.0140196
denominação denominação NCFS000 1 06338908-n:0.0146928
, , Fc 1 -
e e CC 0.999951 -
também também RG 0.998533 00047534-r:0.0149155
em em SP 1 -
a o DA0FS0 1 -
Carta carta NP00G00 1 06624161-n:0.00339907/14974264-n:0.00325747/02962545-n:0.00317965/06626183-n:0.00311846/04004210-n:0.00288287
de de SP 1 -
1946 1946 Z 1 -
. . Fp 1 -

De de SP 1 -
1891 1891 Z 1 -
a a SP 0.313151 -
1940 1940 Z 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
presidente presidente NCMS000 0.998938 10467395-n:0.00561606/10468962-n:0.00558332/10467179-n:0.00514064/10469346-n:0.00495438/10468750-n:0.00488679/10468559-n:0.00472719
e e CC 0.999951 -
o o DA0MS0 0.950254 -
vice vice AQ0CN00 1 -
presidente presidente NCMS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
STF stf NP00O00 1 -
foram ir VMIS3P0 0.325 01835496-v:0.00322664/02051694-v:0.0018663/01955984-v:0.00173338/01995549-v:0.00168538/02072849-v:0.00167034/02009433-v:0.00156731/01904930-v:0.00155566/01935233-v:0.00152221/01957529-v:0.00150023/02102398-v:0.0014676/00341560-v:0.00144459/01882814-v:0.0013634/02058994-v:0.00135911/02685951-v:0.00135425/01846916-v:0.00134587/02102002-v:0.00134041/01849221-v:0.00133093/01841079-v:0.00128054/02686471-v:0.00124368/01839538-v:0.0012137/00343898-v:0.00119524
eleitos eleito NCMP000 0.632624 -
por por SP 1 -
seus seu DP3MPS 0.857735 -
pares par NCMP000 0.269238 13596756-n:0.0148348/07976936-n:0.0137355
. . Fp 1 -

Com com SP 1 -
o o DA0MS0 0.950254 -
Decreto-Lei decreto-lei NP00O00 1 -
nº nº NCMS000 1 -
2.770 2770 Z 1 -
, , Fc 1 -
de de SP 1 -
11_de_novembro_de_1940 [??:11/11/1940:??.??:??] W 1 -
, , Fc 1 -
passaram passar VMIS3P0 0.65 01212230-v:0.00615649/02709277-v:0.00574163/00106960-v:0.00563647
a a SP 0.313151 -
ser ser VMN0000 0.33093 02604760-v:0.0212223
nomeados nomear VMP00PM 0.992518 02400760-v:0.0037062/02396205-v:0.0035113/02475922-v:0.00350914/02396716-v:0.00330049/01028748-v:0.00327215/02401523-v:0.00313471
por por SP 1 -
tempo tempo NCMS000 1 15113229-n:0.00221695/11524662-n:0.00191485/15122231-n:0.00170943/15246353-n:0.00168024/15239579-n:0.00162148/15269513-n:0.00158626/15236475-n:0.00157733/07086518-n:0.00156634/15239292-n:0.00154441/00028270-n:0.00154096/15270431-n:0.00150832/15248564-n:0.00142377/11456462-n:0.00133813
indeterminado indeterminar VMP00SM 0.932518 -
por por SP 1 -
o o DA0MS0 1 -
presidente presidente NCMS000 0.998938 10467395-n:0.00396834/10468962-n:0.00374937/10467179-n:0.00356695/10469346-n:0.00330682/10468750-n:0.00327723/10468559-n:0.00317483
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
República república NP00O00 1 08168978-n:0.00958976/08361329-n:0.00933245
. . Fp 1 -

Entretanto entretanto RG 0.993421 00064946-r:0.0217249
, , Fc 1 -
o o DA0MS0 0.950254 -
Decreto-Lei decreto-lei NP00O00 1 -
nº nº NCMS000 1 -
8.561 8561 Z 1 -
, , Fc 1 -
de de SP 1 -
4_de_janeiro_de_1946 [??:4/1/1946:??.??:??] W 1 -
, , Fc 1 -
determinou determinar VMIS3S0 1 00699815-v:0.0128089/00918872-v:0.0120034
a o DA0FS0 0.675415 -
volta volta NCFS000 0.992095 00051192-n:0.0115255/07447022-n:0.0110831
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
