<OUTPUT SRCFILE="5139.raw">
diretor diretor NCMS000 1 10468559-n:0.00987007/10014939-n:0.00677961/10474645-n:0.00633356/10015485-n:0.00598697
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Instituição_Diamantinense_de_Educação instituição_diamantinense_de_educação NP00O00 1 -
e e CC 0.999951 -
Cultura cultura NP00O00 1 08287844-n:0.00497418/05984936-n:0.00494206/06194409-n:0.00489646/05751794-n:0.00482802/00920510-n:0.0047575
, , Fc 1 -
em em SP 1 -
Diamantino diamantino NP00G00 1 -
( ( Fpa 1 -
MT mt NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Deixou deixar VMIS3S0 1 00120316-v:0.00938227/00800930-v:0.00908197/00802318-v:0.00853489/02310007-v:0.0080501/00771490-v:0.00774634
a o DA0FS0 0.675415 -
Câmara_Municipal câmara_municipal NP00O00 1 -
em em SP 1 -
1992 1992 Z 1 -
, , Fc 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
fim fim NCMS000 1 15266911-n:0.00967988/07291794-n:0.00776407/07291312-n:0.00722379/05981230-n:0.00721973/15143477-n:0.00709864/15267536-n:0.0069516
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
legislatura legislatura NCFS000 1 15291498-n:0.0438954
. . Fp 1 -

Transferiu transferir VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
Mato_Grosso mato_grosso NP00SP0 1 -
e e CC 0.999951 -
deixou deixar VMIS3S0 1 00120316-v:0.00749324/00800930-v:0.00726411/00802318-v:0.00682737/02310007-v:0.00644023/00771490-v:0.00619689
em em SP 1 -
1993 1993 Z 1 -
os o DA0MP0 0.958022 -
cargos cargo NCMP000 1 00586262-n:0.0203609/13945102-n:0.0161126
em em SP 1 -
a o DA0FS0 1 -
Associação_Educacional_de_Jales associação_educacional_de_jales NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0152431
de de SP 1 -
outubro_de_1994 [??:??/10/1994:??.??:??] W 1 -
, , Fc 1 -
concorreu concorrer VMIS3S0 1 -
a a SP 0.313151 -
uma um DI0FS0 0.903495 -
vaga vaga NCFS000 0.698655 13910116-n:0.0162487
de de SP 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00720541/10005934-n:0.00712418
federal federal AQ0CS00 1 01606214-a:0.00365341/01107206-a:0.0035561/02725829-a:0.00353721/01106129-a:0.00345407
por por SP 1 -
o o DA0MS0 1 -
Mato_Grosso mato_grosso NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00802942/06347588-n:0.00744746
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PMDB pmdb NP00O00 1 -
, , Fc 1 -
