<OUTPUT SRCFILE="11650.raw">
** ** Fz 1 -
inquérito inquérito NCMS000 1 05797597-n:0.0042286/07193596-n:0.00397774/05800611-n:0.00385043/07193184-n:0.00372509/00637354-n:0.00358313/00636728-n:0.00356589
, , Fc 1 -
tais tal PD0CP00 0.166667 -
como como CS 0.751351 -
a o PD0FS00 0.00514062 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
Planos_de_Saúde planos_de_saúde NP00V00 1 -
, , Fc 1 -
a a SP 0.313151 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
Correios correios NP00O00 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Violência_no_Campo violência_no_campo NP00G00 1 -
. . Fp 1 -

Durante durante SP 0.99651 -
a o DA0FS0 0.675415 -
legislatura legislatura NCFS000 1 15291498-n:0.0159591
, , Fc 1 -
integrou integrar VMIS3S0 1 00466651-v:0.00539448/00642980-v:0.00508534/00467451-v:0.00494735
, , Fc 1 -
em em SP 1 -
2003 2003 Z 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
comissão comissão NCFS000 1 08324514-n:0.00337616/08402442-n:0.00299513/00773235-n:0.00289373/13320860-n:0.00283275/06478988-n:0.0028162
de de SP 1 -
deputados deputado NCMP000 0.986111 09830400-n:0.00720644/10005934-n:0.00712656
federais federal AQ0CP00 0.960748 01606214-a:0.00365738/01107206-a:0.00355833/02725829-a:0.0035418/01106129-a:0.00345584
brasileiros brasileiro NCMP000 0.432636 09694894-n:0.0147993
enviados enviar VMP00PM 0.721918 01031256-v:0.00176301/01437254-v:0.00167865/01950798-v:0.00156819/01951480-v:0.00151635/01437888-v:0.00133878/01952898-v:0.00126399/01437597-v:0.00122282/02231661-v:0.00120221/01955127-v:0.00120085/02348568-v:0.00120025/01955508-v:0.00117105/01062555-v:0.00115317/02255081-v:0.00110075
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Iraque iraque NP00G00 1 -
para para SP 0.999444 -
avaliar avaliar VMN0000 0.529581 00681429-v:0.00339494/00695226-v:0.00232664/02351010-v:0.00229925/02308389-v:0.00225631/00660971-v:0.0022548/00682230-v:0.00224229/00712135-v:0.00217912
a o DA0FS0 0.675415 -
situação situação NCFS000 1 00024720-n:0.00327236/13925752-n:0.00294496/13920835-n:0.0028072/13927383-n:0.00274101/08622950-n:0.0025805/05074774-n:0.00257248
em em SP 1 -
o o DA0MS0 1 -
país país NCMS000 1 08654360-n:0.0043991/08168978-n:0.00426825/08544813-n:0.00421753/08552138-n:0.00412479
. . Fp 1 -

Em em SP 1 -
2005 2005 Z 1 -
, , Fc 1 -
como como CS 0.751351 -
secretário-geral secretário-geral NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Liga_Parlamentar_Árabe-Brasileira liga_parlamentar_árabe-brasileira NP00O00 1 -
, , Fc 1 -
viajou viajar VMIS3S0 1 01845720-v:0.00210173/01957529-v:0.00195272/02102398-v:0.00186912/01846916-v:0.00185005/01843055-v:0.00182117/02102002-v:0.00176381/01841079-v:0.00164936/01839538-v:0.00158782
juntamente junto RG 1 -
com com SP 1 -
a o DA0FS0 0.675415 -
delegação delegação NCFS000 1 08402442-n:0.00461043/01140839-n:0.00459959/01140471-n:0.0045247
brasileira brasileiro AQ0FS00 0.822581 02966829-a:0.014078
para para SP 0.999444 -
acompanhar acompanhar VMN0000 0.269565 02025550-v:0.00856448/02026086-v:0.00820857
as o DA0FP0 0.974798 -
eleições eleição NCFP000 1 05790944-n:0.00697717/00180962-n:0.0063171/00181781-n:0.00409178/00183505-n:0.00377183
palestinas palestino AQ0FP00 0.348959 02974615-a:0.013338
para para SP 0.999444 -
a o DA0FS0 0.675415 -
escolha escolha NCFS000 0.977612 05790944-n:0.00697717/00180962-n:0.0063171/00161243-n:0.00462288/05790242-n:0.0030756/00163047-n:0.00282802
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
sucessor sucessor NCMS000 0.632636 10671736-n:0.00449734/10671613-n:0.004487/05696803-n:0.00432688
de de SP 1 -
Yasser_Arafat yasser_arafat NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
2006 2006 Z 1 -
tentou tentar VMIS3S0 1 02530167-v:0.0157239/02531625-v:0.0143914/02531199-v:0.0138309
a o DA0FS0 0.675415 -
reeleição reeleição NCFS000 1 00181373-n:0.0413527
e e CC 0.999951 -
obteve obter VMIS3S0 1 02210855-v:0.00450793/02238085-v:0.00413342/02526085-v:0.00397577/02288295-v:0.00338463/02207206-v:0.00334071/02289295-v:0.00327556/02238770-v:0.0032369/02239261-v:0.00312688/02290461-v:0.00305967/00522751-v:0.00305295/02236124-v:0.00304385/00597915-v:0.00300294/02359340-v:0.00292431/02527431-v:0.00291306
uma um DI0FS0 0.903495 -
suplência suplência NCFS000 1 -
. . Fp 1 -

Em em SP 1 -
2008 2008 Z 1 -
voltou voltar VMIS3S0 1 00959714-v:0.02536
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
cena cena NCFS000 1 08645963-n:0.0240517
