<OUTPUT SRCFILE="1326.raw">
Antônio_Aureliano_Chaves_de_Mendonça antônio_aureliano_chaves_de_mendonça NP00SP0 1 -
Carlos_Lacerda carlos_lacerda NP00SP0 1 -
, , Fc 1 -
Afonso_Arinos_de_Melo_Franco afonso_arinos_de_melo_franco NP00SP0 1 -
e e CC 0.999951 -
Adauto_Lúcio_Cardoso adauto_lúcio_cardoso NP00SP0 1 -
. . Fp 1 -

Empossado empossar VMP00SM 0.992518 -
em em SP 1 -
fevereiro_de_1963 [??:??/2/1963:??.??:??] W 1 -
, , Fc 1 -
Aureliano_Chaves aureliano_chaves NP00SP0 1 -
foi ir VMIS3S0 0.5 01835496-v:0.0024954/02051694-v:0.00140078/01955984-v:0.00130607/01995549-v:0.00127159/02072849-v:0.00125504/01904930-v:0.00117982/02009433-v:0.00117758/01935233-v:0.00116454/01957529-v:0.00112956/02102398-v:0.00110329/00341560-v:0.00108454/01882814-v:0.00102457/02058994-v:0.00102104/02685951-v:0.00101503/01846916-v:0.00101221/02102002-v:0.00100749/01849221-v:0.0010012/01841079-v:0.00096279/02686471-v:0.000932882/01839538-v:0.000910644/00343898-v:0.000896682
eleito eleito AQ0MS00 0.5 00846052-a:0.0120845/01294857-a:0.0103527
líder líder NCCS000 0.996454 09623038-n:0.0213865
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
seu seu DP3MSS 0.957305 -
partido partido NCMS000 0.98773 -
e e CC 0.999951 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
governo governo NCMS000 0.914011 08050678-n:0.00747954/01124794-n:0.00725774/00815173-n:0.00660658
em em SP 1 -
a o DA0FS0 1 -
Assembléia assembléia NP00O00 1 01229938-n:0.0109458/08163792-n:0.010646
. . Fp 1 -

Em em SP 1 -
20_de_fevereiro_de_1964 [??:20/2/1964:??.??:??] W 1 -
licenciou licenciar VMIS3S0 1 -
se se PP3CN00 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mandato mandato NCMS000 0.98913 06556481-n:0.00718202/06552984-n:0.00697289/01140658-n:0.00679608/06530789-n:0.00655207
para para SP 0.999444 -
assumir assumir VMN0000 0.529581 00632236-v:0.00943952/00524682-v:0.00940064/02381726-v:0.00929683
a o DA0FS0 0.675415 -
Secretaria_de_Educação secretaria_de_educação NP00O00 1 -
em em SP 1 -
o o DA0MS0 1 -
governo governo NCMS000 0.914011 08050678-n:0.00990641/01124794-n:0.00957451/00815173-n:0.00880536
Magalhães_Pinto magalhães_pinto NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
31_de_março [??:31/3/??:??.??:??] W 1 -
um um DI0MS0 0.877848 -
movimento movimento NCMS000 0.990196 07309781-n:0.00184847/00279835-n:0.00183321/08464601-n:0.00169492/00166355-n:0.00157707/00294190-n:0.00156193/07046339-n:0.00155114/14004317-n:0.0015237/00280586-n:0.00151459/00331655-n:0.00151022/00165942-n:0.00146463/11425088-n:0.00141002
político-militar político-militar AQ0CS00 0.714286 -
, , Fc 1 -
que que PR0CN00 0.584265 -
teve ter VMIS3S0 1 00065639-v:0.0064302/00065370-v:0.00448641/02204692-v:0.00446669/02632167-v:0.00423705
o o DA0MS0 0.950254 -
governador governador NCMS000 0.980769 10140314-n:0.00888976/10541229-n:0.00872481
de de SP 1 -
