<OUTPUT SRCFILE="1032.raw">
Antônio_Mendes_Canale antônio_mendes_canale NP00SP0 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Aliança_Renovadora_Nacional aliança_renovadora_nacional NP00O00 1 -
( ( Fpa 1 -
Arena arena NP00O00 1 02736511-n:0.00910263
) ) Fpt 1 -
, , Fc 1 -
partido partido NCMS000 0.98773 -
de de SP 1 -
sustentação sustentação NCFS000 1 01216191-n:0.00908222
política político AQ0FS00 0.42812 02857407-a:0.00890697/02857587-a:0.00868101
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
regime regime NCMS000 1 05909585-n:0.00859886
militar militar AQ0CS00 0.662338 -
instalado instalar VMP00SM 0.992518 01569566-v:0.00249416/02568556-a:0.00241657/02384041-v:0.00227167/01570108-v:0.00225716
em em SP 1 -
o o DA0MS0 1 -
país país NCMS000 1 08168978-n:0.0025626/08654360-n:0.00254381/08544813-n:0.00249241/08552138-n:0.0024855
a_partir_de a_partir_de SP 1 -
abril_de_1964 [??:??/4/1964:??.??:??] W 1 -
. . Fp 1 -

Entre entre SP 0.987856 -
os o DA0MP0 0.958022 -
anos ano NCMP000 1 15202634-n:0.00300984/15203565-n:0.0029481/15203791-n:0.0028256/15153787-n:0.00260618/15204297-n:0.00260342/15201505-n:0.00258864/08238660-n:0.00258775/15202806-n:0.00255321/15203229-n:0.00246472/15273626-n:0.00243822
de de SP 1 -
1967 1967 Z 1 -
e e CC 0.999951 -
1968 1968 Z 1 -
exerceu exercer VMIS3S0 1 02204564-v:0.00674494/01095218-v:0.0064815/02568672-v:0.00634839/01166093-v:0.00545442
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.015082/13945102-n:0.0116147
de de SP 1 -
chefe chefe NCMS000 1 09623038-n:0.0245516
de de SP 1 -
gabinete gabinete NCMS000 1 03175081-n:0.0218194
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
governador governador NCMS000 0.980769 10140314-n:0.0127775/10541229-n:0.0125201
Pedro_Pedrossian pedro_pedrossian NP00SP0 1 -
( ( Fpa 1 -
