<OUTPUT SRCFILE="11496.raw">
foi ir VMIS3S0 0.5 01835496-v:0.00247778/02051694-v:0.0014008/01955984-v:0.00130504/01995549-v:0.00126987/02072849-v:0.0012545/02009433-v:0.0011791/01904930-v:0.0011788/01935233-v:0.001142/01957529-v:0.00113001/02102398-v:0.00110463/00341560-v:0.00108491/01882814-v:0.00102418/02058994-v:0.00102072/02685951-v:0.00101629/01846916-v:0.00101066/02102002-v:0.00100669/01849221-v:0.00100123/01841079-v:0.000961544/02686471-v:0.000933176/01839538-v:0.00091052/00343898-v:0.000896843
mais_uma_vez mais_uma_vez RG 1 -
reeleito reeleito AQ0MS00 0.392366 -
deputado deputado NCMS000 0.993827 09830400-n:0.00990849/10005934-n:0.00979559
federal federal AQ0CS00 1 01606214-a:0.0050231/01107206-a:0.00488896/02725829-a:0.00486311/01106129-a:0.00474958
. . Fp 1 -

Obteve obter VMIS3S0 1 02210855-v:0.00228147/02238085-v:0.00207013/02526085-v:0.00196415/02288295-v:0.00172602/02207206-v:0.00171751/02289295-v:0.00164784/02238770-v:0.0016152/02239261-v:0.00156323/02290461-v:0.00153479/02236124-v:0.00153402/00522751-v:0.00153011/00597915-v:0.00149882/02359340-v:0.00145893/02527431-v:0.001457
95.864 95864 Z 1 -
votos voto NCMP000 0.987805 -
. . Fp 1 -

Empossado empossar VMP00SM 0.992518 -
em em SP 1 -
fevereiro [??:??/2/??:??.??:??] W 1 -
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0163247/00127815-a:0.0162766
, , Fc 1 -
integrou integrar VMIS3S0 1 00466651-v:0.0118271/00642980-v:0.0111836/00467451-v:0.0108798
a o DA0FS0 0.675415 -
Comissão_de_Meio_Ambiente comissão_de_meio_ambiente NP00O00 1 -
e e CC 0.999951 -
Desenvolvimento_Sustentável desenvolvimento_sustentável NP00SP0 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0164014
em em SP 1 -
2007 2007 Z 1 -
, , Fc 1 -
passou passar VMIS3S0 1 01212230-v:0.00553439/02709277-v:0.0051667/00106960-v:0.00507277
a a SP 0.313151 -
pertencer pertencer VMN0000 0.529581 02719930-v:0.00563956/02653706-v:0.00409511/02737569-v:0.00395864/02737724-v:0.00381656
as o DA0FP0 0.974798 -
fileiras fileira NCFP000 1 08431437-n:0.0159601
de de SP 1 -
