<OUTPUT SRCFILE="11270.raw">
** ** Fz 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00218235/02051694-v:0.00124532/01955984-v:0.00116062/01995549-v:0.00113936/02072849-v:0.00111612/01904930-v:0.00105311/02009433-v:0.00104702/01935233-v:0.00101614/01957529-v:0.00100618/02102398-v:0.000981745/00341560-v:0.000968534/01882814-v:0.000910281/02058994-v:0.000907629/02685951-v:0.00090413/01846916-v:0.000900496/02102002-v:0.000894896/01849221-v:0.000890769/01841079-v:0.00085464/02686471-v:0.000829837/01839538-v:0.000809422/00343898-v:0.000797332
reeleito reeleito AQ0MS00 0.392366 -
governador governador NCMS000 0.980769 10140314-n:0.00982772/10541229-n:0.00961943
de de SP 1 -
aquele aquele DD0MS0 0.780172 - aquele PD0MS00 0.219828 -
estado estado NCMS000 0.924757 00024720-n:0.00514125/13920835-n:0.0040589/13920429-n:0.00396766/13945919-n:0.00394947/14418395-n:0.00385197
, , Fc 1 -
por por SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00981326/06347588-n:0.00910179
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PMDB pmdb NP00O00 1 -
, , Fc 1 -
obtendo obter VMG0000 1 02210855-v:0.00200781/02238085-v:0.00184052/02526085-v:0.00175806/02288295-v:0.00151921/02207206-v:0.00150489/02289295-v:0.00146706/02238770-v:0.00143672/02239261-v:0.00139233/02290461-v:0.00136496/02236124-v:0.00135988/00522751-v:0.00135938/00597915-v:0.00133566/02359340-v:0.00129689/02527431-v:0.00129525
51,49_% 51.49/100 Zp 1 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
votos voto NCMP000 0.987805 -
. . Fp 1 -

Sua seu DP3FSS 0.929764 -
plataforma plataforma NCFS000 1 03933529-n:0.00953968/04033082-n:0.00759568
