<OUTPUT SRCFILE="11028.raw">
** ** Fz 1 -
Estados_Unidos estados_unidos NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00210487/15203565-n:0.00206745/15203791-n:0.00199848/15153787-n:0.00182865/15204297-n:0.0018237/08238660-n:0.00182363/15201505-n:0.00181397/15202806-n:0.00178772/15203229-n:0.00172659/15273626-n:0.00170868
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0081628/00127815-a:0.00813878
foi ir VMIS3S0 0.5 01835496-v:0.00197471/02051694-v:0.00112108/01955984-v:0.00104835/01995549-v:0.00102534/02072849-v:0.00100696/01904930-v:0.000960152/02009433-v:0.000944916/01935233-v:0.000914303/01957529-v:0.000907169/02102398-v:0.000884546/00341560-v:0.000870282/01882814-v:0.000819676/02058994-v:0.000817274/02685951-v:0.000817035/01846916-v:0.000809283/02102002-v:0.000806343/01849221-v:0.000803419/01841079-v:0.00076955/02686471-v:0.000746868/01839538-v:0.000729047/00343898-v:0.000717797
designado designar VMP00SM 0.97619 02400760-v:0.00569865/02401523-v:0.00549988/00677683-v:0.00549529
para para SP 0.999444 -
função função NCFS000 1 00582388-n:0.00442961/00720565-n:0.00438315/05149325-n:0.00420513/00722061-n:0.00410258
de de SP 1 -
vice vice AQ0CN00 1 -
líder líder NCCS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
bloco bloco NCMS000 1 02852523-n:0.0163923
parlamentar parlamentar AQ0CS00 0.938144 02774411-a:0.00553058/00715830-a:0.00527579/00716056-a:0.00520482
PSDB-PTB psdb-ptb NCMS000 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.0035051/15203565-n:0.0034371/15203791-n:0.00325942/15204297-n:0.00303668/15153787-n:0.0030334/15201505-n:0.00301956/08238660-n:0.00301562/15202806-n:0.00297847/15203229-n:0.00287204/15273626-n:0.0028405
de de SP 1 -
2001 2001 Z 1 -
desfiliou desfiliar VMIS3S0 1 -
se se PP3CN00 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PSDB psdb NP00O00 1 -
e e CC 0.999951 -
ingressou ingressar VMIS3S0 1 02310855-v:0.0272653
em em SP 1 -
o o DA0MS0 1 -
Partido_Popular_Socialista partido_popular_socialista NP00O00 1 -
( ( Fpa 1 -
PPS pps NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Logo logo RG 0.994911 00061203-r:0.0135823
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00175511/15203565-n:0.00172517/15203791-n:0.00167531/15153787-n:0.00152504/15204297-n:0.00152086/08238660-n:0.00151879/15201505-n:0.00151235/15202806-n:0.0014901/15203229-n:0.00143833/15273626-n:0.0014235
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00680456/00127815-a:0.00678452
foi ir VMIS3S0 0.5 01835496-v:0.0016547/02051694-v:0.000934565/01955984-v:0.000873849/01995549-v:0.000853848/02072849-v:0.000840529/01904930-v:0.000803467/02009433-v:0.000789157/01935233-v:0.000762869/01957529-v:0.000757614/02102398-v:0.000737719/00341560-v:0.000729319/01882814-v:0.000683463/02058994-v:0.000681858/02685951-v:0.000681686/01846916-v:0.000674714/02102002-v:0.000672411/01849221-v:0.000670016/01841079-v:0.000641536/02686471-v:0.000622151/01839538-v:0.000607653/00343898-v:0.000601502
eleito eleito AQ0MS00 0.5 00846052-a:0.00810947/01294857-a:0.00689564
vice vice AQ0CN00 1 -
líder líder NCCS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PPS pps NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
bloco bloco NCMS000 1 02852523-n:0.013661
parlamentar parlamentar AQ0CS00 0.938144 02774411-a:0.0046084/00715830-a:0.00440147/00716056-a:0.00435194
Partido_Democrático_Trabalhista partido_democrático_trabalhista NP00O00 1 -
( ( Fpa 1 -
PDT pdt NP00O00 1 -
) ) Fpt 1 -
- - Fg 1 -
PPS pps NP00O00 1 -
. . Fp 1 -

Durante durante SP 0.99651 -
o o DA0MS0 0.950254 -
