<OUTPUT SRCFILE="8873.raw">
social social AQ0CS00 1 02798370-a:0.00130562/02248349-a:0.00129569/02258360-a:0.0012095/01076634-a:0.00118449/02798597-a:0.00114097/02252877-a:0.00110463
” ” Frc 1 -
– – Fz 1 -
para para SP 0.999444 -
assim assim RG 0.998008 00121002-r:0.00675335
diminuir diminuir VMN0000 0.529581 00151689-v:0.00130591/00441445-v:0.000895996/00429060-v:0.000602943/00431826-v:0.000528669/00241038-v:0.000468689/00432683-v:0.000392435/00433778-v:0.000391737/00245289-v:0.000375078/00441881-v:0.000361074/00267855-v:0.000361044/00267681-v:0.000360079/00433933-v:0.000359746/00152762-v:0.000357215/00245059-v:0.000355951/00233089-v:0.000354229/00240131-v:0.000353213/00429968-v:0.000348095/02039876-v:0.000338655/00237259-v:0.000335879/00152887-v:0.000329613
o o DA0MS0 0.950254 -
risco risco NCMS000 0.986111 14541852-n:0.0025879/00802238-n:0.00243389/14541044-n:0.0024046
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
contestações contestação NCFP000 1 07183151-n:0.00741777
, , Fc 1 -
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
greves greve NCFP000 1 01243674-n:0.00305057/01244341-n:0.00240235/01242962-n:0.00219145
operárias operário AQ0FP00 0.349028 -
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
ação ação NCFS000 1 00037396-n:0.00193814/14006945-n:0.00156891/00030358-n:0.00149456/01080366-n:0.00143732/01168369-n:0.00138793
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
sindicatos sindicato NCMP000 1 08233056-n:0.00377182/08236438-n:0.00377151
– – Fz 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
